eth_address,amended_address,dot_balance,polkadot_address
0xf897a81A6AB5aA5Cc24e18C9976b3882cD0F4cCF,undefined,780066000000000,16kWNtwcsA6F2TTghQTbq9o8gNG3HDFE8gdrhQgczYCKhMjP
0x4E09168663A2A36B3b066176f82dF10fb615f4B2,undefined,2335336000000000,
0x6aDAf97E46d6D7Aaaee6698CD764ED2b960ad5fB,undefined,275285000000000,
0x7cca361415fbF12722397C47e063a4952Ad65bC0,undefined,18352000000000,
0x009d14e5EF0bdAae60DB17775e772DCd9E6130C6,undefined,16792000000000,
0xd67346067f88F10855b3580e8230Dac8650116E4,undefined,91761000000000,13Yc5RwNnD1LT1mguShRahmYaGMjGNKdekRrX8oojtQqosWn
0xE10F34493e884232F2847C6da66773E51Ec1731B,undefined,13764000000000,
0xC301610a4eC130d407FdF49BC4cc94F89b316D17,undefined,773136000000000,12mz4yfq5njNakvGsyKspBrXZLzBkZXVfpycQhKrrco6QaCs
0x1a7FfaD9c186a581B06fFAE5F5C1fBfbf190C794,undefined,10414000000000,127XE6LHyqNiq1Vqm9pwQ96znYhWYdodKJHZCNs2FPATAvKM
0x00E87F59aB519b9Ba01190EF68bD814728ef58fd,undefined,36704000000000,
0x005056C4cc0929D2eAFdfA995455e68427137DEc,undefined,8809000000000,
0xFEcD5df71E03Db79046Adc4E474d3d0e4871E2F3,undefined,192837000000000,
0xC155940fe345651798e48F29c54a2Cd860304734,undefined,82585000000000,
0x001c23D4E5d6B3B797FE085fb0A3bAFb7f758Da9,undefined,130271000000000,
0x00642284ddd6a101231e93d0a8469B39d85EC85C,undefined,2798732000000000,
0x004D8Fc7CAd40c95a1D1cD38cBAf4A6c2a119722,undefined,367046000000000,
0x00b104f528A2F421D2EC9bE3364B7f266fA628e2,undefined,69853000000000,
0x0094803d665f06FAe41Ff86B05C81413Ca8A8a35,undefined,110077000000000,
0x0036725F3317d37D0b948A2593892bD5C186B98E,undefined,55057000000000,
0x00e4c826e8a26d72cD784052B0A45F93a451A5e2,undefined,9405000000000,
0xE87a44DdFC5762E9cF415C9C00FCaB24f3AdA6d3,undefined,976344000000000,
0x0062E7f8465Aaec10bC526BF5bF01443B0E450E7,undefined,184165000000000,
0xd78dEc21CC26Ca8E9A6C12F5f11B0A59f21829E0,undefined,260382000000000,
0x0026C2822209F9A0f8427fCF5D8f75dc0E471058,undefined,73409000000000,
0xBed32016cCb33d7Ae3Eb165CbF37C7D23e35dA90,undefined,155497000000000,
0x0047522120Faa210d0E6722C57a5b1D83C417950,undefined,88871000000000,
0x00E17De34ca530DF364F3B818e29a8ec82a3DA8e,undefined,222522000000000,
0x000c10b4AFeF8D4C640aE287e75dD71c427cb0E0,undefined,275227000000000,
0x004bC0521Cf3E6289217adC9AB50722A3d2f6849,undefined,27528000000000,
0x004e35c529b6D6F7768f868036f065138FE68b57,undefined,325141000000000,
0x2C1aef275A28F2eE7241Ac81Ba4F25Bcf09BCcDe,undefined,45206000000000,
0x1f6CD77548b31a8d04Ce8D3faA358b76861E4A3f,undefined,12550000000000,
0x00BF5Ae4B593A56432357a7ff8D8098B9C10469C,undefined,146818000000000,
0x0028F8743D32AA2C22D2EB1B415c64d3fb49EbaD,undefined,2661000000000,
0x0063A1ad9B3aD315d4A0Bb590435D34D4593845e,undefined,302357000000000,
0x00383B93d6bb219FDE72527528fAd143dBaa7A48,undefined,183523000000000,
0xf48b621eC245aE6a2F1743302e9A0D2a5B3e1228,undefined,55102000000000,
0x66F1c634f11355c3Dee9015852DFf6e65Dbbf49C,undefined,73409000000000,
0x52c7F3fb2a8bDc8F2D9CDc9404B5779108d4ea0C,undefined,1553939000000000,16a73HFiXxa77MNXYVsc2ztjZwLGyMtZAbQnXDjErG1zoQ65
0x726a0E3227f10b8967864Ea8f7fBA8b5637c192f,undefined,91761000000000,15ye1FssbtwgutnhHX2PKE9WWKDU9JqUsZERbRuT87B8VsDb
0x00d2B403199705e292860C2978457aEC9075b897,undefined,2661000000000,
